"author_id";"name";"count"
278;"approved";2
278;"cherrypick-approved";1
278;"cncf-cla: yes";3
278;"lgtm";2
278;"release-note";2
278;"sig/scheduling";1
278;"sig/storage";1
278;"size/L";2
278;"size/XL";1
354;"approved";14
354;"area/controller-manager";1
354;"area/kube-proxy";1
354;"cncf-cla: yes";15
354;"do-not-merge";1
354;"kind/api-change";1
354;"lgtm";14
354;"release-note";2
354;"release-note-action-required";1
354;"release-note-none";11
354;"sig/api-machinery";11
354;"sig/cluster-lifecycle";1
354;"sig/network";1
354;"sig/storage";1
354;"sig/testing";1
354;"size/L";3
354;"size/M";6
354;"size/S";3
354;"size/XS";3
17607;"backported-to-v6.x";3
17607;"backport-requested-v6.x";1
17607;"C++";7
17607;"cli";3
17607;"dont-land-on-v4.x";3
17607;"dont-land-on-v6.x";3
17607;"http";1
17607;"in progress";1
17607;"inspector";2
17607;"lib / src";1
17607;"semver-minor";2
17607;"tls";1
47313;"BC Break";2
47313;"Feature";1
47313;"Status: Needs Review";13
52195;"baking-for-lts";1
52195;"build";1
52195;"dont-land-on-v4.x";1
52195;"dont-land-on-v6.x";1
52195;"lib / src";1
52195;"net";2
52195;"notable-change";1
52195;"process";1
52195;"semver-major";1
52195;"stream";4
54666;"baking-for-lts";3
54666;"buffer";1
54666;"C++";2
54666;"dns";1
54666;"dont-land-on-v4.x";1
54666;"dont-land-on-v6.x";3
54666;"events";1
54666;"http";3
54666;"https";1
54666;"lts-watch-v6.x";4
54666;"net";1
54666;"performance";6
54666;"stream";2
57224;"DependencyInjection";1
57224;"PropertyInfo";1
57224;"Serializer";3
57224;"Status: Needs Review";5
57224;"Status: Reviewed";1
96947;"assert";1
96947;"async_wrap";1
96947;"backported-to-v6.x";1
96947;"backport-requested-v6.x";2
96947;"baking-for-lts";1
96947;"benchmark";1
96947;"build";2
96947;"C++";3
96947;"child_process";1
96947;"cli";1
96947;"cluster";1
96947;"debugger";1
96947;"dgram";1
96947;"doc";4
96947;"dont-land-on-v6.x";2
96947;"fs";6
96947;"help wanted";2
96947;"http";1
96947;"inspector";1
96947;"land-on-v6.x";3
96947;"lib / src";1
96947;"libuv";1
96947;"lts-watch-v6.x";1
96947;"macos";1
96947;"meta";1
96947;"net";2
96947;"notable-change";1
96947;"semver-major";1
96947;"semver-minor";1
96947;"stalled";1
96947;"test";9
96947;"tls";1
96947;"tools";2
96947;"util";1
96947;"v8.x";1
96947;"windows";2
100893;"approved";4
100893;"area/controller-manager";1
100893;"cherrypick-approved";1
100893;"cncf-cla: yes";5
100893;"lgtm";4
100893;"release-note";2
100893;"release-note-none";2
