author_id1,author_id2,count
278,100893,9
278,335402,2
278,493891,1
278,1884269,1
278,3076896,2
278,4759699,1
278,19172805,2
354,278,2
354,730123,1
354,980082,1
354,8225098,1
3115,947971,3
3115,1449175,1
10183,8734900,5
10183,10027921,24
15952,7455872,2
16018,1775518,43
16018,10109534,2
17607,15952,27
17607,21203,2
17607,52195,14
17607,54666,15
17607,108959,1
17607,109690,1
17607,115237,1
17607,238531,5
17607,275871,1
17607,439929,92
17607,711968,4
17607,718899,8
17607,782880,11
17607,911174,2
17607,924465,6
17607,1189785,1
17607,1211498,6
17607,2512748,13
17607,3367801,1
17607,4337080,1
17607,10450602,2
17607,11780786,7
17607,11979939,1
17607,15161981,3
17607,15943089,1
28046,47313,2
29678,1957048,1
44136,3900799,1
45469,275871,1
47313,243674,16
47313,408368,2
47313,578547,1
47313,665908,1
47313,849295,1
47313,921303,8
47313,1651494,1
47313,2211145,2
47313,4578773,5
47313,6871899,2
47313,7502063,10
47313,7669734,1
47313,16302148,1
49262,3081981,1
49262,4109465,5
49262,6969686,3
49262,10109534,2
51265,1752631,2
52195,54666,12
52195,1443911,1
52195,1935767,3
52195,3001791,1
52195,4268223,4
52195,7273940,11
53798,5230419,3
54666,15952,23
54666,17607,3
54666,327019,2
54666,439929,1
54666,711968,4
54666,718899,3
54666,782880,4
54666,899444,1
54666,924465,5
54666,1716463,4
54666,1935767,5
54666,2022803,1
54666,2512748,1
54666,3367801,1
54666,4299420,13
54666,4923335,1
54666,7455872,2
54666,11780786,6
57224,121003,5
57224,243674,5
57224,921303,2
57224,1894271,1
57224,1957048,2
57224,2211145,2
57224,5175937,2
57224,7502063,7
70511,7946809,1
70865,366488,1
73419,47313,5
73419,57224,1
73419,76576,1
73419,243674,7
73419,749025,1
73419,2211145,2
79017,498775,1
79017,1093990,2
82626,52195,6
87088,5230419,5
87555,8734900,2
96040,10926354,2
100893,33544,1
100893,1745006,1
100893,5751682,3
100893,7236993,20
100893,10047184,2
100893,23021116,1
101553,899444,1
115237,15161981,2
115237,15943089,12
116087,458800,1
119737,3262098,5
121003,57224,1
126021,2101035,1
126898,1073881,1
137574,243674,1
144858,578547,1
155998,243674,1
156269,439929,3
158611,1555564,1
158611,3902875,2
158611,5344440,7
158611,5751682,3
158611,22786043,1
158611,23203101,2
161459,112197,1
169553,87555,28
169553,800562,2
169553,826111,4
169553,920884,1
169553,1050521,2
169553,1163175,1
169553,1703842,10
169553,6795213,1
169553,6914660,10
169553,10743879,1
169553,12290300,6
169553,18107181,7
169553,22539261,1
170179,22941064,1
170270,2512748,1
186077,5230419,4
190447,47313,6
190447,243674,1
190447,408368,1
190447,1822037,1
191082,657779,1
191082,665908,1
192142,7946809,1
205482,11780786,2
234659,275871,7
235550,47313,1
238531,21203,1
238531,54666,1
238531,1093990,1
238531,5157107,6
239685,6871899,1
243674,47313,8
243674,55820,1
243674,57224,21
243674,121003,2
243674,144858,7
243674,289757,1
243674,345029,4
243674,408368,1
243674,578547,2
243674,657779,6
243674,849295,2
243674,1047696,17
243674,1275206,5
243674,1651494,1
243674,1754678,1
243674,1957048,3
243674,2211145,22
243674,2480766,2
243674,3967713,7
243674,4578773,1
243674,6578413,1
243674,6729988,5
243674,6871899,44
243674,7502063,17
243674,12628547,3
275871,17607,11
275871,21203,1
275871,79017,1
275871,439929,6
275871,677994,5
275871,718899,2
275871,782880,2
275871,899444,3
275871,1319028,1
275871,1443911,1
275871,4421720,3
275871,6487691,1
275871,13561163,2
275871,15161981,1
289174,439929,4
289174,1093990,1
291301,275871,1
291301,2352663,1
327028,7062400,1
335402,100893,10
335402,10052848,2
366488,5230419,13
374924,51265,1
408368,47313,1
408368,176607,1
408368,243674,1
408368,4578773,1
408368,7502063,1
432351,899444,1
439401,10137,1
439401,47313,6
439401,57224,18
439401,121003,2
439401,243674,42
439401,408368,3
439401,578547,6
439401,833667,2
439401,849295,1
439401,1265780,1
439401,1275206,1
439401,1754678,1
439401,1957048,2
439401,2211145,9
439401,2480766,2
439401,2749829,1
439401,2806404,6
439401,6729988,10
439401,6871899,2
439401,7502063,5
439929,17607,1
439929,54666,19
439929,114976,3
439929,115237,2
439929,588262,1
439929,677994,2
439929,696611,1
439929,718899,4
439929,899444,10
439929,988441,1
439929,1093990,2
439929,1197375,1
439929,1211498,4
439929,1443911,1
439929,1538624,3
439929,1716463,1
439929,1746853,1
439929,2352663,2
439929,2512748,8
439929,3367801,5
439929,4299420,7
439929,4421720,1
439929,4448075,1
439929,6487691,2
439929,11780786,2
439929,15161981,5
451477,3026995,3
451477,8734900,13
463737,21194,1
463737,23068,1
463737,55744,1
463737,486336,3
463737,606831,4
463737,7946809,1
463737,24963061,8
465798,300279,5
465798,3208699,10
465798,8060564,1
493891,6233452,1
498775,15811347,1
505333,4299420,10
510842,121003,1
517753,47313,1
562536,243674,1
562536,2211145,2
576341,354,2
576341,980082,3
576341,3902875,1
576341,7261177,4
577277,7946809,8
577277,12864026,1
578547,47313,3
578547,1957048,1
617481,439929,8
631240,54666,2
631240,677994,1
647318,10183,5
647318,44136,4
647318,187961,1
647318,947971,28
647318,980082,2
647318,1163175,2
647318,1417888,1
647318,1555564,2
647318,1703842,12
647318,2589105,3
647318,4516999,12
647318,6104418,1
647318,8225098,6
647318,10743879,1
647318,10819974,2
647318,11243364,1
647318,13030040,1
647318,14291598,5
647318,20511366,2
647318,21304151,2
647318,22539261,1
647318,23021116,6
647318,23203101,1
657779,6871899,1
676637,1163175,6
676637,1332699,3
676637,3278588,5
676637,5821883,1
676637,7436779,1
676637,11676923,2
677994,17607,2
677994,52195,5
677994,54666,8
677994,115237,2
677994,439929,5
677994,6627780,2
684901,505333,2
684901,12167999,1
696611,54666,6
696611,275871,1
696611,439929,2
696611,498775,3
696611,588262,6
696611,718899,9
696611,899444,2
696611,1189785,1
696611,1231635,5
696611,1443911,1
696611,2512748,3
696611,5655189,6
696611,10450602,1
696611,12598261,1
