"author_id";"author_id";"count"
278;5785605;4
278;7236993;4
278;20855209;2
278;22482503;5
278;28946359;2
354;489420;1
354;6341218;7
354;33235082;5
3115;5334145;1
4303;5952481;1
4303;9373002;3
5061;6932348;7
5061;8096033;2
5061;13744128;4
5750;5952481;8
16018;3527868;1
16018;6410074;1
16018;6932348;1
16018;7589596;3
16018;7946809;3
16018;10109534;14
17607;1424963;1
17607;17704638;1
20809;52195;17
20809;100928;2
20809;432351;1
20809;718899;2
20809;899444;10
20809;1067818;15
20809;1093990;5
20809;1424963;12
20809;2512748;3
20809;3020626;1
20809;4048656;4
20809;4711855;4
20809;5952481;3
20809;6191849;3
20809;7060741;5
20809;7135896;10
20809;7927517;3
20809;8079370;14
20809;8228740;4
20809;8822573;4
20809;9251453;2
20809;10933333;1
20809;11579108;2
20809;11750657;6
20809;12564217;1
20809;12592200;2
20809;15943089;1
20809;25074747;3
20809;25148017;7
22063;34140249;6
23304;784144;1
23304;2342749;2
23304;22482503;1
23304;23203101;1
23304;24934058;4
23304;26879063;1
23304;30265084;2
23304;30396467;1
41858;23304;2
41858;1904995;1
45469;5952481;9
47313;243674;2
47313;400616;1
47313;804625;6
47313;921145;1
47313;924196;1
47313;1047696;3
47313;2211145;2
47313;3451634;3
49262;6832316;1
52195;20809;11
52195;229881;3
52195;439929;19
52195;505333;3
52195;899444;1
52195;1093990;3
52195;1424963;3
52195;17704638;1
52195;22822319;9
54666;20809;2
54666;696611;4
54666;718899;1
54666;5952481;4
54666;8896530;1
57224;407859;1
57224;408368;1
57224;972456;6
57224;3451634;3
57224;6871899;13
57224;7502063;1
57224;20582937;1
72760;3814418;1
73085;6191849;1
73419;57224;1
73419;143311;2
73419;408368;3
73419;748694;2
73419;804625;11
73419;1047696;1
73419;4578773;4
87088;980082;2
87088;3271796;3
87088;5449021;2
87088;20855209;6
87088;30396467;5
96947;4048656;1
100893;161571;1
101553;899444;4
119737;4546722;1
121003;243674;7
121003;804625;1
126021;2264912;5
134460;988441;2
136291;74956;10
136291;10982987;8
136291;13115060;9
143206;804625;1
150663;13115060;10
158390;1147320;1
158611;3902875;1
159209;28696384;3
169553;14308438;1
170179;856316;2
170179;3527868;3
172029;823581;2
174200;1701782;3
175109;209225;1
191082;804625;1
191082;10908843;3
192142;856316;1
192142;4171702;1
192142;6932348;1
192142;13115060;1
192142;16437156;1
234659;5952481;2
235550;2552865;2
238531;899444;1
239685;804625;1
239685;3451634;1
239685;4578773;8
243674;57224;8
243674;109846;4
243674;143311;1
243674;209225;31
243674;349624;7
243674;368545;1
243674;400034;4
243674;408368;3
243674;481937;4
243674;496233;2
243674;506129;1
243674;657779;1
243674;679561;1
243674;748694;3
243674;804625;10
243674;883543;2
243674;980499;1
243674;1047696;6
243674;1455673;1
243674;1573273;2
243674;1651494;1
243674;1761140;1
243674;1903154;1
243674;1957048;5
243674;2211145;3
243674;2716794;2
243674;3340882;1
243674;3451634;28
243674;6984809;1
243674;7502063;1
243674;9282069;1
243674;10352654;2
243674;11542862;1
243674;20582937;3
243674;33167212;2
243674;33787256;5
246944;3506308;3
264816;1265228;1
275871;101553;1
275871;238667;2
275871;287917;1
275871;432351;10
275871;505333;4
275871;899444;22
275871;976081;21
275871;1147320;4
275871;1424963;1
275871;1538624;12
275871;2352663;1
275871;2512748;2
275871;2842176;2
275871;3065230;2
275871;3109072;3
275871;4048656;40
275871;5952481;3
275871;8822573;4
275871;8896530;5
275871;15943089;1
275871;32143325;12
291531;3451634;2
298299;6233452;2
327028;4178417;2
348932;606831;5
379372;4707353;1
379372;11936386;5
379372;29497748;3
400034;209225;1
408368;313532;26
408368;3451634;2
432351;439929;1
432351;32143325;1
439401;209225;1
439401;243674;10
439401;349624;1
439401;496233;2
439401;1202333;1
439401;1957048;1
439401;3340882;1
439401;3451634;6
439401;4128920;1
439401;4578773;2
439401;7502063;1
439929;10602;1
439929;52195;1
439929;100928;1
439929;229881;1
439929;275871;3
439929;505333;2
439929;677994;1
439929;899444;4
439929;976081;2
439929;1666618;1
439929;2512748;2
439929;3020626;1
439929;6191849;2
439929;7927517;1
439929;8822573;2
439929;17894982;1
450008;209225;2
450008;804625;4
463737;10380843;4
495647;988441;2
505333;20809;6
505333;899444;6
505333;22822319;2
532688;4048656;1
554720;1109011;1
567540;899444;1
576341;3902875;2
577277;1182358;2
577277;1192265;1
577277;1249087;13
577277;6034261;5
577277;6932348;3
577277;13744128;1
577277;16437156;1
578547;400034;7
598730;5952481;8
610090;57224;2
610090;243674;2
610090;1047696;2
610090;1202333;1
610090;1517363;1
631240;8822573;4
647318;980082;3
647318;2823529;2
647318;31416425;4
672668;1963;1
676637;22800175;1
677994;8822573;1
695290;1944093;4
695290;29497748;1
696611;15952;2
706544;1265228;1
710255;10905152;8
718899;10602;4
718899;20809;1
718899;100928;2
718899;101553;1
718899;234659;1
718899;432351;2
718899;439929;6
718899;1067818;9
718899;1093990;4
718899;1904430;2
718899;2006839;1
718899;2512748;1
718899;3020626;1
718899;4048656;2
718899;4299420;1
718899;5952481;2
718899;8822573;13
718899;12592200;3
718899;15275371;2
718899;17704638;1
718899;17788344;1
718899;17894982;2
718899;19703819;1
718899;22822319;2
718899;26275425;2
730123;10137;1
730123;49258;2
730123;84400;1
730123;5449021;1
730123;6341218;1
730123;13374016;29
730123;15881573;3
730123;20855209;11
730123;28696384;2
730123;29742491;4
730123;33349125;1
791000;161571;2
804625;243674;2
804625;3155338;1
804625;3451634;3
815988;52195;4
837034;184976;2
837034;1332699;2
837034;4953962;1
837034;5785605;1
837034;8681801;1
837034;11286267;2
849295;2552865;1
849295;20582937;1
855219;8297234;1
865538;5751682;2
899444;20809;19
899444;52195;1
899444;101553;1
899444;238667;1
899444;432351;3
899444;439929;25
899444;505333;6
899444;677994;1
899444;976081;2
899444;1093990;2
899444;1106770;1
899444;1666618;1
899444;2365820;3
899444;2500247;1
899444;2842176;6
899444;3109072;1
899444;4048656;1
899444;5443053;2
899444;5952481;1
899444;6191849;1
899444;7927517;1
899444;8822573;1
899444;9373002;1
903617;4953962;2
903617;7589619;10
903617;8055242;1
903617;23203101;25
904790;980499;2
904790;3451634;1
906471;576341;1
917931;4953962;2
921145;1957048;1
921145;3451634;2
924196;243674;1
966348;10380843;4
980082;278;4
980082;23304;2
980082;309126;1
980082;903617;2
980082;1796778;1
980082;3271796;2
980082;3840030;2
980082;5449021;6
980082;5785605;2
